date,close
1968-06-03,22.0
1968-06-28,21.5
1968-07-03,15.5
1968-07-30,16.0
1968-08-01,14.0
1968-08-30,13.75
1968-09-03,14.75
1968-09-30,14.5
1968-10-01,14.5
1968-10-31,18.75
1968-11-01,17.0
1968-11-14,17.0
1968-12-31,20.0
1969-01-08,21.0
1969-01-31,18.0
1969-02-03,18.0
1969-02-28,16.5
1969-03-03,16.5
1969-03-28,15.0
1969-04-01,15.0
1969-04-30,15.0
1969-05-01,15.0
1969-05-29,13.25
1969-06-02,14.5
1969-06-30,11.25
1969-07-01,12.75
1969-07-31,9.0
1969-08-01,9.0
1969-08-29,8.5
1969-09-02,8.5
1969-09-30,10.0
1969-10-01,10.5
1969-10-31,13.0
1969-11-03,13.0
1969-11-28,9.5
1969-12-01,9.5
1969-12-31,8.375
1970-01-02,8.75
1970-01-30,6.25
1970-02-02,6.25
1970-02-27,6.5
1970-03-02,6.5
1970-03-31,8.25
1970-04-01,8.5
1970-04-30,5.25
1970-05-01,5.75
1970-05-29,4.125
1970-06-01,4.25
1970-06-30,3.375
1970-07-01,4.0
1970-07-31,3.75
1970-08-03,4.0
1970-08-31,3.5
1970-09-01,3.5
1970-09-30,5.375
1970-10-01,5.625
1970-10-30,5.25
1970-11-02,5.125
1970-11-30,4.625
1970-12-01,4.625
1970-12-31,4.5
1971-01-04,4.5
1971-01-29,4.625
1971-02-01,4.75
1971-02-05,4.875
1971-03-24,6.25
1971-03-31,6.1875
1971-04-01,6.1875
1971-04-30,6.4375
1971-05-03,6.75
1971-05-27,6.875
1971-06-01,6.875
1971-06-29,6.5
1971-07-01,6.5
1971-07-30,6.0
1971-08-02,6.0
1971-08-31,5.5
1971-09-01,5.625
1971-09-30,5.5
1971-10-29,5.25
1971-11-30,4.5
1971-12-31,4.4375
1972-01-31,4.6875
1972-02-29,5.75
1972-03-30,7.125
1972-04-28,6.5
1972-05-31,5.75
1972-06-05,5.5
1972-06-30,5.25
1972-07-03,5.25
1972-07-31,4.625
1972-08-01,4.375
1972-08-31,3.625
1972-09-01,3.625
1972-09-29,3.25
1972-10-02,3.25
1972-10-31,2.6875
1972-11-01,2.6875
1972-11-30,4.5
1972-12-01,4.75
1972-12-29,4.625
