date,close
1926-02-27,41.0
1926-03-31,34.0
1926-04-30,33.25
1926-05-28,32.0
1926-06-30,28.625
1926-07-31,28.375
1926-08-31,29.125
1926-09-30,29.0
1926-10-30,25.625
1926-11-30,23.75
1926-12-31,21.75
1927-01-31,23.25
1927-02-28,22.25
1927-03-31,23.5
1927-04-30,23.0
1927-05-31,22.25
1927-06-30,16.75
1927-07-30,18.375
1927-08-31,20.0
1927-09-30,19.375
1927-10-31,18.0
1927-11-30,19.0
1927-12-31,16.0
1928-01-31,16.875
1928-02-29,15.25
1928-03-31,15.875
1928-04-30,16.0
1928-05-31,19.0
1928-06-30,15.5
1928-07-31,22.875
1928-08-31,23.875
1928-09-29,24.0
1928-10-31,23.625
1928-11-30,35.5
1928-12-31,37.875
1929-01-31,40.0
1929-02-28,40.0
1929-03-28,36.0
