date,close
1923-05-31,86.5
1923-06-30,90.0
1923-07-31,87.25
1923-08-31,90.0
1923-09-29,90.0
1923-10-31,90.25
1923-11-30,90.0
1923-12-31,88.25
1924-01-31,92.0
1924-02-29,88.375
1924-03-31,86.75
1924-04-30,86.0
1924-05-29,84.75
1924-06-30,86.5
1924-07-31,89.5
1924-08-30,90.25
1924-09-30,89.5
1924-10-31,88.75
1924-11-30,88.0
1924-12-31,88.75
1925-01-31,90.75
1925-02-28,93.25
1925-03-31,92.5
1925-04-30,91.5625
1925-05-29,93.75
1925-06-30,91.25
1925-07-31,92.0
1925-08-31,91.5
1925-09-30,90.5
1925-10-31,91.5
1925-11-30,92.5
1925-12-31,93.5
1926-01-30,96.0
1926-02-27,96.75
1926-03-31,90.0
1926-04-30,90.0
1926-05-28,94.875
1926-06-30,90.625
1926-07-31,89.0
1926-08-31,94.0
1926-09-30,88.0
1926-10-30,88.0
1926-11-30,88.25
1926-12-31,88.0
1927-01-31,85.5
1927-02-28,84.0
1927-03-31,89.0
1927-04-30,92.0
1927-05-31,95.75
1927-06-30,90.5
1927-07-30,90.0
1927-08-31,90.75
1927-09-30,88.0
1927-10-31,84.0
1927-11-30,90.0
1927-12-31,93.0
1928-01-31,94.625
1928-02-29,96.0
1928-03-31,93.75
1928-04-30,94.5
1928-05-31,98.0
1928-06-30,90.0
1928-07-31,90.0
1928-08-31,90.0
1928-09-29,90.0
1928-10-31,90.0
1928-11-30,91.0
1928-12-31,91.0
1929-01-31,91.0
1929-02-28,90.0
1929-03-28,80.0
1929-04-30,86.0
1929-05-31,80.0
1929-06-29,80.0
1929-07-31,80.0
1929-08-30,83.25
1929-09-30,82.0
1929-10-31,70.0
1929-11-27,73.0
1929-12-31,70.0
1930-01-31,80.0
1930-02-28,80.0
1930-03-31,75.25
1930-04-30,83.0
1930-05-29,82.0
1930-06-30,82.0
1930-07-31,85.0
1930-08-29,83.0
1930-09-30,79.0
1930-10-31,74.0
1930-11-29,69.0
1930-12-31,69.0
1931-01-31,70.0
1931-02-28,80.25
1931-03-31,85.0
1931-04-30,83.0
1931-05-29,77.0
1931-06-30,76.0
1931-07-31,75.0
1931-08-31,70.0
1931-09-30,64.5
1931-10-31,60.0
1931-11-30,60.0
1931-12-31,53.75
1932-01-30,55.6875
1932-02-29,60.9375
1932-03-31,69.125
1932-04-30,69.0625
1932-05-31,61.6875
1932-06-30,54.0
1932-07-30,59.5
1932-08-31,68.5
1932-09-30,65.0
1932-10-31,64.9375
1932-11-30,66.0
1932-12-31,66.0
1933-01-31,65.0
1933-02-28,65.5
1933-03-31,68.0
1933-04-29,72.5625
1933-05-31,77.0625
1933-06-30,81.0
1933-07-31,79.0
1933-08-31,81.875
1933-09-30,84.4375
1933-10-31,84.5
1933-11-29,92.0
1933-12-30,92.5625
1934-01-31,93.0
1934-02-28,92.0
1934-03-31,94.0
1934-04-30,91.0
1934-05-31,89.5
1934-06-30,92.0625
1934-07-31,93.0
1934-08-31,90.0
1934-09-29,86.5
1934-10-31,83.0
1934-11-30,76.5
1934-12-31,71.25
1935-01-31,75.0
1935-02-28,77.0
1935-03-30,77.0
1935-04-30,77.0
1935-05-31,75.5
1935-06-29,80.0
1935-07-31,85.0
1935-08-31,92.5
1935-09-30,97.0
1935-10-31,99.125
1935-11-30,104.0
1935-12-31,106.875
1936-01-31,108.75
1936-02-29,112.625
1936-03-31,114.0
1936-04-30,112.0
1936-05-29,108.5
1936-06-30,110.0
1936-07-31,112.0625
1936-08-31,111.375
1936-09-30,109.75
1936-10-31,109.5
1936-11-30,109.5
1936-12-31,108.625
1937-01-30,110.0
1937-02-27,112.0625
1937-03-31,108.0
1937-04-30,106.0
1937-05-28,104.5
1937-06-30,98.0
1937-07-31,102.1875
1937-08-31,100.5625
1937-09-30,99.25
1937-10-31,95.9375
1937-11-30,92.0
1937-12-31,95.0
1938-01-31,92.0
1938-02-28,94.5
1938-03-31,90.5
1938-04-30,85.0
1938-05-31,88.75
1938-06-30,89.0
1938-07-30,95.0625
1938-08-31,106.5
1938-09-30,110.5
1938-10-31,107.0
1938-11-30,107.375
1938-12-31,106.75
1939-01-31,105.0
1939-02-28,108.0
1939-03-31,111.25
1939-04-29,105.375
1939-05-31,111.25
1939-06-30,110.0
1939-07-31,107.5
1939-08-31,108.5
1939-09-30,102.5
1939-10-31,103.125
1939-11-30,104.25
1939-12-30,104.75
1940-01-31,104.0625
1940-02-29,105.3125
1940-03-30,108.25
1940-04-30,109.0
1940-05-31,102.5
1940-06-29,98.625
1940-07-31,101.0
1940-08-31,102.0
1940-09-30,101.75
1940-10-31,99.0
1940-11-30,103.25
1940-12-31,102.375
1941-01-31,104.25
1941-02-28,100.5
1941-03-31,97.0625
1941-04-30,92.5
1941-05-31,82.75
1941-06-30,81.0
1941-07-31,78.5
1941-08-30,75.75
1941-09-30,74.5
1941-10-31,70.5
1941-11-29,68.6875
1941-12-31,61.75
1942-01-31,69.0
1942-02-28,75.375
1942-03-31,73.5
1942-04-30,71.75
1942-05-29,72.5
1942-06-30,72.5
1942-07-31,70.25
1942-08-31,68.0
1942-09-30,67.6875
1942-10-31,67.5625
1942-11-30,66.625
1942-12-31,67.75
1943-01-30,74.75
1943-02-27,83.5
1943-03-31,87.5
1943-04-30,83.875
1943-05-29,87.0
1943-06-30,87.375
1943-07-31,90.6875
1943-08-31,89.25
1943-09-30,91.5
1943-10-30,92.25
1943-11-30,91.375
1943-12-31,99.125
1944-01-31,103.5
1944-02-29,101.5
1944-03-31,101.875
1944-04-29,101.0
1944-05-31,101.0
1944-06-30,102.25
1944-07-31,101.0625
1944-08-31,101.0
1944-09-30,101.375
1944-10-31,102.125
1944-11-30,104.625
1944-12-30,107.25
1945-01-31,109.5
1945-02-28,112.6875
1945-03-31,113.4375
1945-04-30,113.3125
1945-05-31,114.0
1945-06-30,115.9375
1945-07-31,116.5
1945-08-31,115.625
1945-09-29,114.75
1945-10-31,114.5
1945-11-30,115.625
1945-12-31,116.75
1946-01-31,116.5
1946-02-28,118.5
1946-03-30,117.125
1946-04-30,117.5
1946-05-31,118.0625
1946-06-28,117.5
1946-07-31,118.25
1946-08-29,116.75
1946-09-30,115.375
1946-10-31,117.0
1946-11-29,114.75
1946-12-31,115.75
1947-01-31,115.5
1947-02-28,117.0
1947-03-31,115.8125
1947-04-30,114.0
1947-05-29,103.375
1947-06-30,99.875
1947-07-31,104.25
1947-08-29,109.0
1947-09-30,104.0
1947-10-31,100.5
1947-11-29,101.3125
1947-12-31,99.25
1948-01-31,99.0
1948-02-28,95.375
1948-03-31,92.5
1948-04-30,94.75
1948-05-28,96.9375
1948-06-30,94.25
1948-07-30,94.0
1948-08-31,94.375
1948-09-30,92.25
1948-10-30,92.0
1948-11-30,89.625
1948-12-31,89.5
1949-01-31,88.75
1949-02-28,84.25
1949-03-31,85.0
1949-04-30,86.25
1949-05-31,83.625
1949-06-30,82.3125
1949-07-29,81.4375
1949-08-31,83.5
1949-09-30,86.625
1949-10-31,89.25
1949-11-30,93.5
1949-12-31,95.375
1950-01-31,96.375
1950-02-28,97.875
1950-03-31,97.125
1950-04-29,97.0
1950-05-31,100.75
1950-06-30,103.0
1950-07-31,100.375
1950-08-31,102.5
1950-09-29,102.75
1950-10-31,102.125
1950-11-30,106.5
1950-12-30,102.875
1951-01-31,103.75
1951-02-28,103.375
1951-03-31,103.4375
1951-04-30,101.25
1951-05-31,101.0
1951-06-29,98.75
1951-07-31,97.0
1951-08-31,97.25
1951-09-28,97.1875
1951-10-31,98.25
1951-11-30,98.0
1951-12-31,97.375
1952-01-31,95.5
1952-02-29,95.75
1952-03-31,94.9375
1952-04-30,92.625
1952-05-29,95.25
1952-06-30,98.0
1952-07-31,103.5
1952-08-29,108.125
1952-09-30,110.0625
1952-10-31,113.125
1952-11-28,116.2345
1952-12-31,116.344
