date,close
1968-08-27,76.82156659440099
1968-08-30,75.40767273070036
1968-09-03,79.17805636723537
1968-09-30,80.591950230936
1968-10-01,84.8336318220379
1968-10-31,81.06324818550287
1968-11-01,78.70675841266849
1968-11-29,78.94240738995192
1968-12-02,79.41370534451879
1968-12-31,76.82038834951456
1969-01-02,80.46116504854369
1969-01-31,72.81553398058253
1969-02-03,72.57281553398056
1969-02-28,54.975728155339795
1969-03-03,54.368932038834956
1969-03-28,50.0
1969-04-01,48.543689320388346
1969-04-30,43.325242718446596
1969-05-01,43.325242718446596
1969-05-29,44.174757281553404
1969-06-02,44.417475728155345
1969-06-30,33.49514563106796
1969-07-01,34.101941747572816
1969-07-31,26.69902912621359
1969-08-01,32.52427184466019
1969-08-29,36.40776699029127
1969-09-02,36.65048543689321
1969-09-30,32.03883495145631
1969-10-01,32.03883495145631
1969-10-31,37.864077669902905
1969-11-03,34.46601941747573
1969-11-28,30.94660194174757
1969-12-01,28.640776699029125
1969-12-31,24.25
1970-01-02,25.25
1970-01-30,19.75
1970-02-02,20.5
1970-02-27,23.5
1970-03-02,22.5
1970-03-31,21.0
1970-04-01,20.375
1970-04-30,15.75
1970-05-01,16.0
1970-05-29,9.75
1970-06-01,10.5
1970-06-30,12.25
1970-07-01,12.5
1970-07-31,12.5
1970-08-03,12.25
1970-08-31,13.375
1970-09-01,12.0
1970-09-30,17.0
1970-10-01,16.25
1970-10-30,14.5
1970-11-02,13.0
1970-11-30,12.25
1970-12-01,12.0
1970-12-31,10.25
1971-01-04,10.375
1971-01-29,14.0
1971-02-01,14.0
1971-02-26,14.25
1971-03-01,14.5
1971-03-31,14.5
1971-04-01,13.5
1971-04-30,23.875
1971-05-03,25.0
1971-05-28,15.5
1971-06-01,16.375
1971-06-30,16.75
1971-07-01,16.375
1971-07-30,14.25
1971-08-02,14.625
1971-08-31,15.5
1971-09-01,14.25
1971-09-30,13.0
1971-10-01,13.0
1971-10-29,9.875
1971-11-01,9.75
1971-11-30,9.625
1971-12-01,10.75
1971-12-31,12.25
1972-01-03,12.375
1972-01-31,16.125
1972-02-01,16.375
1972-02-29,14.75
1972-03-01,14.5
1972-03-30,12.625
1972-04-03,12.375
1972-04-28,12.125
1972-05-01,12.25
1972-05-31,13.625
1972-06-01,15.25
1972-06-30,14.0
1972-07-03,14.5
1972-07-31,12.875
1972-08-01,13.0
1972-08-31,10.25
1972-09-01,10.875
1972-09-29,12.0
1972-10-02,11.5
1972-10-31,11.0
1972-11-01,11.0
1972-11-30,12.125
1972-12-01,12.5
1972-12-29,10.875
