date,close
1968-03-29,16.0
1968-04-30,18.0
1968-05-31,17.0
1968-06-28,17.25
1968-07-30,14.75
1968-08-30,14.875
1968-09-30,14.75
1968-10-31,14.75
1968-11-29,15.125
1968-12-31,15.0
1969-01-31,15.875
1969-02-28,15.25
1969-03-28,14.0
1969-04-30,13.0
1969-05-29,11.625
1969-06-30,10.5
1969-07-31,9.625
1969-08-29,9.5
1969-09-30,9.0
1969-10-31,9.625
1969-11-28,8.375
1969-12-31,7.0
1970-01-30,7.25
1970-02-27,7.375
1970-03-31,7.375
1970-04-30,6.5
1970-05-29,5.75
1970-06-30,5.375
1970-07-31,5.375
1970-08-31,5.875
1970-09-30,6.0
1970-10-30,4.125
1970-11-30,3.25
1970-12-31,3.125
1971-01-29,4.5
1971-02-26,4.125
1971-03-31,4.375
1971-04-30,6.75
1971-05-28,6.125
1971-06-30,5.125
1971-07-30,5.125
1971-08-31,5.0
1971-09-30,5.375
1971-10-29,6.125
1971-11-30,5.5
1971-12-31,6.25
1972-01-31,7.625
1972-02-29,7.0
1972-03-30,6.5
1972-04-28,6.625
1972-05-31,6.25
1972-06-30,6.0
1972-07-31,5.75
1972-08-31,4.5
1972-09-29,4.75
1972-10-31,4.5
1972-11-30,4.75
1972-12-29,4.375
1983-08-22,25.0
1983-08-31,24.75
1983-09-01,24.75
1983-09-30,27.75
1983-10-03,27.75
1983-10-31,27.875
1983-11-01,27.75
1983-11-30,28.875
1983-12-01,28.75
1983-12-30,30.125
1984-01-03,30.0
1984-01-31,29.625
1984-02-01,29.5
1984-02-29,28.875
1984-03-01,29.0
1984-03-30,30.125
1984-04-02,30.25
1984-04-30,29.5
1984-05-01,29.5
1984-05-31,25.875
1984-06-01,26.625
1984-06-29,24.25
1984-07-02,24.25
1984-07-31,22.125
1984-08-01,23.0
1984-08-31,23.5
1984-09-04,23.5
1984-09-28,22.875
1984-10-01,22.875
1984-10-31,21.5
1984-11-01,21.75
1984-11-30,20.25
1984-12-03,20.0
1984-12-31,21.25
1985-01-02,21.0
1985-01-31,23.0
1985-02-01,23.125
1985-02-28,24.5
1985-03-01,24.625
1985-03-29,23.125
1985-04-01,23.25
1985-04-30,23.25
1985-05-01,22.875
