date,close
1968-01-31,23.875
1968-02-29,20.0
1968-03-29,17.625
1968-04-30,19.5
1968-05-31,18.875
1968-06-28,17.25
1968-07-30,14.625
1968-08-30,15.875
1968-09-30,15.75
1968-10-31,19.0
1968-11-29,20.5
1968-12-31,18.125
1969-01-31,16.75
1969-02-28,13.875
1969-03-28,12.75
1969-04-30,10.625
1969-05-29,9.75
1969-06-30,8.25
1969-07-31,6.875
1969-08-29,7.75
1969-09-30,6.875
1969-10-31,7.75
1969-11-28,6.625
1969-12-31,5.75
1970-01-30,5.0
1970-02-27,5.25
1970-03-31,5.125
1970-04-30,3.5
1970-05-29,3.625
1970-07-31,3.375
1970-08-31,3.75
1970-09-30,5.0
1970-10-30,4.0
1970-11-30,4.25
1970-12-31,4.75
1971-01-29,6.75
1971-02-26,8.0
1971-03-31,11.0
1971-04-30,9.875
1971-05-28,8.25
1971-06-30,9.75
1971-07-01,9.625
1971-07-30,8.0
1971-08-02,8.375
1971-08-31,9.25
1971-09-01,9.25
1971-09-30,8.625
1971-10-01,8.75
1971-10-29,8.25
1971-11-01,7.625
1971-11-30,8.0
1971-12-01,8.0
1971-12-31,8.625
1972-01-03,8.75
1972-01-31,10.75
1972-02-01,10.875
1972-02-29,10.25
1972-03-01,10.75
1972-03-30,12.5
1972-04-03,12.875
1972-04-28,14.5
1972-05-01,14.125
1972-05-31,14.75
1972-06-01,14.5
1972-06-30,12.625
1972-07-03,12.75
1972-07-31,12.25
1972-08-01,12.0
1972-08-31,11.875
1972-09-01,11.75
1972-09-29,11.625
1972-10-02,11.625
1972-10-31,11.75
1972-11-01,11.75
1972-11-30,11.125
1972-12-01,11.5
1972-12-29,10.625
