date,close
1970-05-27,4.5
1970-05-29,4.875
1970-06-01,4.875
1970-06-30,5.75
1970-07-01,6.0
1970-07-31,6.25
1970-08-03,6.0
1970-08-31,6.25
1970-09-01,8.0
1970-09-30,7.125
1970-10-01,7.125
1970-10-30,6.5
1970-11-02,6.0
1970-11-30,5.75
1970-12-01,6.125
1970-12-31,5.75
1971-01-04,6.0
1971-01-29,6.625
1971-02-01,6.875
1971-02-26,7.125
1971-03-01,7.0
1971-03-31,6.375
1971-04-01,6.375
1971-04-30,6.125
1971-05-03,6.0
1971-05-28,5.75
1971-06-01,5.75
1971-06-30,5.375
1971-07-01,5.75
1971-07-30,5.625
1971-08-02,5.25
1971-08-31,5.5
1971-09-01,5.75
1971-09-30,5.375
1971-10-01,5.125
1971-10-29,4.25
1971-11-01,4.25
1971-11-30,3.375
1971-12-01,3.375
1971-12-31,3.875
1972-01-03,4.0
1972-01-31,4.875
1972-02-01,5.0
1972-02-29,5.0
1972-03-01,5.0
1972-03-30,4.625
1972-04-03,4.375
1972-04-28,4.0
1972-05-01,4.0
1972-05-31,3.5
1972-06-01,3.75
1972-06-30,3.625
1972-07-03,3.625
1972-07-31,3.375
1972-08-01,3.25
1972-08-31,2.75
1972-09-01,2.875
1972-09-29,3.0
1972-10-02,2.75
1972-10-31,2.25
1972-11-01,2.125
1972-11-30,2.625
1972-12-01,3.0
1972-12-29,2.75
