date,close
1939-01-31,6.25
1939-03-31,5.125
1939-04-29,4.5
1939-05-31,3.9375
1939-06-30,3.875
1939-07-31,4.75
1939-09-30,5.25
1939-10-31,5.9375
1939-11-30,5.25
1939-12-30,5.125
1940-01-31,9.5
1940-02-29,9.875
1940-03-30,10.0
1940-04-30,10.375
1940-05-31,8.625
1940-06-29,6.875
1940-07-31,7.5
1940-08-31,7.875
1940-09-30,9.125
1940-10-31,8.625
1940-11-30,8.5
1940-12-31,8.25
1941-01-31,6.625
1941-02-28,6.375
1941-03-31,6.0
1941-04-30,4.75
1941-05-31,5.75
1941-06-30,6.375
1941-07-31,7.0
1941-08-30,9.125
1941-09-30,9.625
1941-10-31,9.0
1941-11-29,9.875
1941-12-31,8.0
1942-01-31,8.0
1942-02-28,9.0
1942-03-31,9.875
1942-04-30,8.375
1942-05-29,6.75
1942-06-30,7.125
1942-07-31,7.25
1942-08-31,7.75
1942-09-30,8.25
1942-10-31,8.8125
1942-11-30,7.5
1942-12-31,6.875
1943-01-30,8.125
1943-02-27,8.375
1943-03-20,8.875
